organisation_identifier,budget_kind,budget_status,period_start,period_end,value,currency,value_date,recipient_org_ref,recipient_org_type,recipient_org_name,recipient_country_code,recipient_region_code,recipient_region_vocabulary
44002,recipient-country-budget,1,2025-01-01,2025-12-31,360658854,USD,2025-01-01,,,,UG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,367872031,USD,2026-01-01,,,,UG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,375229471,USD,2027-01-01,,,,UG,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1168058139,USD,2024-01-01,,,,UZ,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1191419302,USD,2025-01-01,,,,UZ,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1215247688,USD,2026-01-01,,,,UZ,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,1239552641,USD,2027-01-01,,,,UZ,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,15992674,USD,2024-01-01,,,,VC,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,16312527,USD,2025-01-01,,,,VC,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,16638778,USD,2026-01-01,,,,VC,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,16971554,USD,2027-01-01,,,,VC,,
