activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-46008-cfa010199,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011307,8,Salud,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011752,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012460,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007946,12,Multisectorial,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008945,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012160,6,"Industria, comercio y servicios",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012564,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003442,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011677,10,Tecnologías de la información y la comunicación,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012704,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012206,2,"Agricultura, ganadería, pesca y silvicultura",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009731,12,Multisectorial,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011994,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012050,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003477,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011063,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009757,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010713,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009204,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012275,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
