activity_identifier,url,format,title,title_lang,description,description_lang,category_code,language_code,document_date
XM-DAC-46008-cfa008741,https://www.caf.com/es/proyectos/cfa008741-programa-nueva-infraestructura-educativa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011456,https://www.caf.com/es/proyectos/cfa011456-plan-de-transformacion-y-mejora-integral-del-inadeh,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012334,https://www.caf.com/es/proyectos/cfa012334-programa-integral-de-desarrollo-productivo-y-social,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010061,https://www.caf.com/es/proyectos/cfa010061-proyecto-implementacion-del-plan-de-manejo-integral-de-la-cuenca-del-rio-lujan-etapa-i,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003683,https://www.caf.com/es/proyectos/cfl0000003683-banco-para-el-fomento-a-inciativas-economicas-sa-banco-fie-sa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003580,https://www.caf.com/es/proyectos/cfl0000003580-banco-de-desarrollo-productivo-sam,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009759,https://www.caf.com/es/proyectos/cfa009759-programa-de-presas,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011906,https://www.caf.com/es/proyectos/cfa011906-programa-de-saneamiento-e-infraestructura-urbana-de-juazeiro-do-norte/ce,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010209,https://www.caf.com/es/proyectos/cfa010209-proyecto-construccion-de-planta-potabilizadora-en-los-partidos-de-la-plata-berisso-y-ensenada,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009272,https://www.caf.com/es/proyectos/cfa009272-construccion-de-la-carretera-doble-via-santa-cruz-warnes,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011790,https://www.caf.com/es/proyectos/cfa011790-programa-de-apoyo-al-sistema-vial-argentino-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003406,https://www.caf.com/es/proyectos/cfl0000003406-corporacion-interamericana-para-el-financiamiento-de-infraestructura-sa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011061,https://www.caf.com/es/proyectos/cfa011061-ppp-circuito-vial-1,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003492,https://www.caf.com/es/proyectos/cfl0000003492-banco-de-guayaquil-sa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012056,https://www.caf.com/es/proyectos/cfa012056-proyecto-instituto-tecnico-superior-especializado-itse-fase-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012596,https://www.caf.com/es/proyectos/cfa012596-programa-de-desarrollo-urbano-y-recursos-hidricos-de-uberaba,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010675,https://www.caf.com/es/proyectos/cfa010675-programa-nacional-de-inversiones-para-la-infraestructura-de-la-red-vial,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012325,https://www.caf.com/es/proyectos/cfa012325-programa-de-infraestructura-logistica-fase-i,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008791,https://www.caf.com/es/proyectos/cfa008791-proyecto-de-optimizacion-de-la-red-hidrometeorologica-nacional,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012442,https://www.caf.com/es/proyectos/cfa012442-programa-de-infraestrutura-urbana-de-sao-bernardo-do-campo-proinfra-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012569,https://www.caf.com/es/proyectos/cfa012569-programa-de-gestion-de-desastres-y-eventos-extremos-del-clima-para-el-estado-plurinacional-de-bolivia,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011489,https://www.caf.com/es/proyectos/cfa011489-programa-de-infraestructura-vial-para-la-competitividad-regional-fase-1-proregion-1,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012694,https://www.caf.com/es/proyectos/cfa012694-fortalecimiento-de-la-infraestructura-digital-en-trinidad-y-tobago,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011057,https://www.caf.com/es/proyectos/cfa011057-planta-de-tratamiento-de-aguas-residuales-guangarcucho-cuenca,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009919,https://www.caf.com/es/proyectos/cfa009919-programa-de-desarrollo-turistico-de-catamarca,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfc012385,https://www.caf.com/es/proyectos/cfc012385-conversion-de-deuda-por-naturaleza-para-el-programa-de-conservacion-del-rio-lempa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa902406,https://www.caf.com/es/proyectos/cfa902406-sa-impact-forestry-fund,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012064,https://www.caf.com/es/proyectos/cfa012064-plan-anual-de-inversion-de-educacion-2023-2025,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003443,https://www.caf.com/es/proyectos/cfl0000003443-global-bank-corporation,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011997,https://www.caf.com/es/proyectos/cfa011997-proyecto-construccion-asfaltado-la-joya-chuquichambi-huayllamarca-totora-y-los-puentes-vehiculares-la-joya-y-crucero-rvf-031,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011175,https://www.caf.com/es/proyectos/cfa011175-belgrano-sur-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011740,https://www.caf.com/es/proyectos/cfa011740-programa-integral-de-vialidad-movilidad-agua-potable-y-alcantarillado-en-zonas-populares,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011247,https://www.caf.com/es/proyectos/cfa011247-linea-emergencia-covid-19,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010641,https://www.caf.com/es/proyectos/cfa010641-programa-de-recalificacion-urbana-de-palmas,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008471,https://www.caf.com/es/proyectos/cfa008471-americas-energy-fund-ii-lp,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011781,https://www.caf.com/es/proyectos/cfa011781-programa-de-ampliacion-y-mejora-de-la-infraestructura-escolar-de-la-provincia-de-buenos-aires,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009660,https://www.caf.com/es/proyectos/cfa009660-construccion-carretera-km25-tarata-anzaldo-rio-caine,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012061,https://www.caf.com/es/proyectos/cfa012061-programa-de-transformacion-del-clima-de-negocios-de-el-salvador-a-traves-de-la-facilitacion-del-comercio-y-las-inversiones,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000000620,https://www.caf.com/es/proyectos/cfl0000000620-banco-bradesco,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012205,https://www.caf.com/es/proyectos/cfa012205-programa-para-la-implementacion-de-un-sistema-de-telemedicina-en-el-salvador,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012265,https://www.caf.com/es/proyectos/cfa012265-programa-cuenca-se-transforma-fase-i,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010730,https://www.caf.com/es/proyectos/cfa010730-programa-de-mantenimiento-y-conservacion-vial-por-resultados,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
