activity_identifier,location_ref,location_reach,location_id_vocabulary,location_id_code,name,name_lang,description,description_lang,activity_description,activity_description_lang,latitude,longitude,exactness,location_class,feature_designation,administrative_vocabulary,administrative_level,administrative_code,administrative_country
XI-IATI-IADB-AR-L1180,,,G1,,"Argentina, PIZZURNO 935, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.59814998067,",-58.391192942646,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6037181,",-58.38153,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Buenos Aires,Las Heras",,,,,es,"-34.5875522,",-58.3972196,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Buenos Aires,Mor n",,,,,es,"-34.6510527,",-58.6217416,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Buenos Aires,Tres de Febrero",,,,,es,"-34.5718841,",-58.4251892,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Buenos Aires,Vera",,,,,es,"-34.5936445,",-58.4427388,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,C rdoba",,,,,es,"-31.4166867,",-64.1834193,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,C rdoba,Las Heras",,,,,es,"-31.566667,",-63.916667,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,C rdoba,Mor n",,,,,es,"-31.4415296,",-64.1591728,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,C rdoba,Tres de Febrero",,,,,es,"-33.8292572999999,",-64.8314906215028,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,C rdoba,Vera",,,,,es,"-31.3474419,",-64.2511381,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Las Heras",,,,,es,"-46.5897167,",-68.9250635855834,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Mendoza",,,,,es,"-34.7870930499999,",-68.4381867731229,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Mendoza,Las Heras",,,,,es,"-32.8521368,",-68.834782,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Mendoza,Mor n",,,,,es,"-34.64516005,",-58.6223282320681,,,,G1,1,7,
