activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,12382,,1,,25.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,13010,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,13020,,1,,20.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,13040,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,12250,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,12350,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,13010,,1,,80.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,43073,,1,,10.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,12220,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,12240,,1,,15.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,12340,,1,,10.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,12350,,1,,65.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,43073,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,12110,,1,,15.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,12240,,1,,10.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,12250,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,12263,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,12350,,1,,50.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,13010,,1,,5.0000000000
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,43073,,1,,10.0000000000
